entity_type,id,name,parent_tm,status,changed_fields
TM,473,DATÇA RES,,unchanged,
TM,474,KÖPRÜ HES,,unchanged,
TM,475,GALİP HOCA JES,,unchanged,
TM,476,FEKE HAVZA,,unchanged,
TM,477,FEKE2 HES,,unchanged,
TM,478,AKBÜK RES,,unchanged,
TM,479,ERMENEK HES,,unchanged,
TM,480,GAZİANTEP,,unchanged,
TM,481,MARMARİS 2,,unchanged,
TM,482,ÇATALAN HES,,unchanged,
TM,483,ALES DGKÇS,,unchanged,
TM,484,BAŞPINAR OSB,,unchanged,
TM,486,MERSİN TERMİK,,unchanged,
TM,488,DOĞANKÖY,,unchanged,
TM,489,OSMANCA,,unchanged,
TM,490,KARASU,,unchanged,
TM,491,MERSİN2,,unchanged,
TM,492,KILILI,,unchanged,
TM,493,DARAN HAVZA,,unchanged,
TM,494,İBRAHİMLİ,,unchanged,
TM,495,ERDEMİR1,,unchanged,
TM,496,GEBZE KİMYA,,unchanged,
TM,497,ERDEMİR2,,unchanged,
TM,498,ELAZIĞ,,updated,Rakım (m)
TM,499,YEŞİLVADİ,,unchanged,
TM,500,AKÇAKOCA,,unchanged,
TM,502,DARAN HES,,unchanged,
TM,503,HANKENDİ,,unchanged,
TM,504,ZONGULDAK,,unchanged,
TM,505,BURSA DGKÇS,,unchanged,
TM,506,BEYKENT OSB,,unchanged,
TM,508,CAMİŞ MERSİN,,unchanged,
TM,509,GERKONSAN,,unchanged,
TM,510,ÇİMKO,,unchanged,
TM,511,BURSA SANAYİ,,unchanged,
TM,512,TARSUS,,updated,Rakım (m)
TM,514,BOLU2,,unchanged,
TM,515,GÜRAĞAÇ,,unchanged,
TM,516,ADIYAMAN ÇİMENTO,,unchanged,
TM,517,SEYHAN HES,,unchanged,
TM,518,BOLU ÇİMENTO,,unchanged,
TM,519,KAYNAŞLI,,unchanged,
TM,520,TUNÇBİLEK A TES,,unchanged,
TM,521,ILGIN,,unchanged,
TM,522,BARTIN,,unchanged,
TM,523,TUNÇBİLEK B TES,,unchanged,
TM,524,KISIK HES,,unchanged,
TM,525,MELEN,,unchanged,
TM,526,ADIYAMAN,,unchanged,
TM,527,SEYİTÖMER TES,,unchanged,
TM,528,İNCİRLİK,,unchanged,
TM,529,ALBAY ÇİĞİLTEPE RES,,unchanged,
TM,531,KARSAK,,unchanged,
TM,532,ZETES2,,unchanged,
TM,533,AKÇAKALE,,unchanged,
TM,534,GEMLİK,,unchanged,
TM,535,AFYON2,,unchanged,
TM,536,ORHANGAZİ,,unchanged,
TM,537,KÖPRÜBAŞI HES,,updated,Rakım (m)
TM,538,BİRECİK HES,,unchanged,
TM,539,SEYRANTEPE HES,,unchanged,
TM,540,DENİZLİ4,,unchanged,
TM,541,OTOSANSİT,,unchanged,
TM,543,BÜYÜKKARIŞTIRAN,,unchanged,
TM,546,YILDIRIM,,unchanged,
TM,547,BOSEN,,unchanged,
TM,549,ÇERKEZKÖY,,unchanged,
TM,550,BEŞEVLER,,unchanged,
TM,551,AÇS İNCİRLİK,,unchanged,
TM,552,ORHANELİ TES,,unchanged,
TM,554,MUSTAFA KEMAL PAŞA,,unchanged,
TM,556,UŞAK,,unchanged,
TM,557,GÖRÜKLE,,unchanged,
TM,559,GÜNEY ADANA,,unchanged,
TM,561,TEKİRDAĞ,,unchanged,
TM,562,ZEYTİNLİ,,unchanged,
TM,563,KARAHAN,,unchanged,
TM,564,UŞAK OSB,,unchanged,
TM,565,LÜLEBURGAZ,,unchanged,
TM,566,NACARLI,,unchanged,
TM,568,YAKAKÖY,,unchanged,
TM,570,ADIGÜZEL HES,,unchanged,
TM,571,ULAŞ,,unchanged,
TM,573,KADINCIK1 HES,,unchanged,
TM,574,KİLİS,,unchanged,
TM,575,ÇÖLLOLAR,,unchanged,
TM,576,ÇİVRİL,,unchanged,
TM,577,TEGESAN,,unchanged,
TM,578,YAMANLI3 HES,,unchanged,
TM,580,DERBENT HES,,unchanged,
TM,581,ÇAYSEKA,,unchanged,
TM,582,KADINCIK2 HES,,unchanged,
TM,584,ÇÖÇELLİ,,unchanged,
TM,586,TOROSLAR,,unchanged,
TM,587,KIYIKÖY,,unchanged,
TM,588,AKBELEN,,unchanged,
TM,589,EMİRDAĞ,,unchanged,
TM,590,UZUNÇAYIR HES,,unchanged,
TM,592,KARACADAĞ PS,,unchanged,
TM,593,ALTINKAYA HES,,unchanged,
TM,594,SANDIKLI,,unchanged,
TM,595,ARABAN PS,,unchanged,
TM,597,AKÇANSA,,unchanged,
TM,598,CİDE,,unchanged,
TM,599,TAŞUCU,,unchanged,
TM,600,ANAMUR,,unchanged,
TM,601,DENİZLİ2,,unchanged,
TM,602,SİLİVRİ,,unchanged,
TM,603,SARIL PS,,unchanged,
TM,604,ERDEMLİ,,unchanged,
TM,605,DENİZLİ3,,unchanged,
TM,606,UZUNKÖPRÜ,,unchanged,
